Category,Message,,,
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",,,
ham,Shant disturb u anymore... Jia you...,,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,,,
ham,We got a divorce. Lol. She.s here,,,
ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",,,
ham,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,,,
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
ham,Yeah but which is worse for i,,,
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,,,
ham,"I am real, baby! I want to bring out your inner tigress...",,,
ham,Yes:)from last week itself i'm taking live call.,,,
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,,,
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just Â£1.50 per wk 2 opt out send STOP 08452810071 16,,,
ham,Today am going to college so am not able to atten the class.,,,
spam,"Hi,Thanks for working with us. Your bill for $373.75 was due on 28 Aug 2016.If you've already paid it, please ignore this email and sorry for bothering you. If you've not paid it, please do so as soon as possible.To view your bill visit https://in.xero.com/5LQDhRwfvoQfeDtLDMqkk1JWSqC4CmJt4VVJRsGN.If you've got any questions, or want to arrange alternative payment don't hesitate to get in touch.ThanksNJW Limited",,,
ham,I remain unconvinced that this isn't an elaborate test of my willpower,,,
ham,Are you willing to go for aptitude class.,,,
ham,Will be out of class in a few hours. Sorry,,,
ham,K do I need a login or anything,,,
ham,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,,,
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june.",,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
ham,No b4 Thursday,,,
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,,,
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,,,
ham,I finished my lunch already. U wake up already?,,,
ham,Aiyah then i wait lor. Then u entertain me. Hee...,,,
ham,Ok then i will come to ur home after half an hour,,,
ham,I'm not. She lip synced with shangela.,,,
ham,Dear how is chechi. Did you talk to her,,,
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,,,
ham,I'm at home. Please call,,,
ham,K..k..i'm also fine:)when will you complete the course?,,,
ham,Send me your id and password,,,
ham,Hey they r not watching movie tonight so i'll prob b home early...,,,
ham,Be sure to check your yahoo email. We sent photos yesterday,,,
ham,"Hey elaine, is today's meeting still on?",,,
ham,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,,,
ham,Text her. If she doesnt reply let me know so i can have her log in,,,
ham,Huh? 6 also cannot? Then only how many mistakes?,,,
ham,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",,,
ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.,,,
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",,,
spam,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412,,,
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",,,
ham,Mmm thats better now i got a roast down me! iÂ’d b better if i had a few drinks down me 2! Good indian?,,,
ham,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.,,,
ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,,,
ham,Great. P diddy is my neighbor and comes for toothpaste every morning,,,
ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,,,
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,,,
spam,FreeMsg>FAV XMAS TONES!Reply REAL,,,
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,,,
ham,I just saw ron burgundy captaining a party boat so yeah,,,
ham,"Hmph. Go head, big baller.",,,
ham,Now am free call me pa.,,,
ham,Just sleeping..and surfing,,,
ham,Aiya we discuss later lar... Pick Ã¼ up at 4 is it?,,,
ham,How much is torch in 9ja.,,,
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,,,
ham,Kallis wont bat in 2nd innings.,,,
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,,,
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,,,
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",,,
ham,Gimme a few was  &lt;#&gt;  minutes ago,,,
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,,,
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie,,,
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX Â£1.50,,,
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,,,
ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola",,,
ham,Today my system sh get ready.all is well and i am also in the deep well,,,
ham,Yo theres no class tmrw right?,,,
ham,Que pases un buen tiempo or something like that,,,
ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",,,
ham,Beerage?,,,
ham,Hope you are not scared!,,,
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,,,
ham,Pls i wont belive god.not only jesus.,,,
ham,No message..no responce..what happend?,,,
ham,YO YO YO BYATCH WHASSUP?,,,
ham,Yunny i'm walking in citylink now Ã¼ faster come down... Me very hungry...,,,
ham,"No I'm good for the movie, is it ok if I leave in an hourish?",,,
ham,"It'll be tough, but I'll do what I have to",,,
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),,,
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",,,
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,
ham,I'm working technical support :)voice process.networking field.,,,
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),,,
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
ham,Have a nice day my dear.,,,
ham,"Yep, at derek's house now, see you Sunday &lt;3",,,
ham,Sorry da thangam.it's my mistake.,,,
ham,Welp apparently he retired,,,
ham,Shall i send that exe to your mail id.,,,
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,,,
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,,,
ham,U can call now...,,,
ham,Good. No swimsuit allowed :),,,
ham,"That's cool, I'll come by like  &lt;#&gt; ish",,,
ham,At 7 we will go ok na.,,,
ham,Does daddy have a bb now.,,,
ham,What's ur pin?,,,
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over Â£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,,,
ham,Ãœ ready then call me...,,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,,,
ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,,,
ham,Was it something u ate?,,,
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx",,,
ham,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?,,,
spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!",,,
ham,I will take care of financial problem.i will help:),,,
ham,S s..first time..dhoni rocks...,,,
ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",,,
ham,So that means you still think of teju,,,
ham,"It's fine, imma get a drink or somethin. Want me to come find you?",,,
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,,,
ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",,,
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x CallsÂ£1/minMobsmoreLKPOBOX177HP51FL,,,
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,,,
ham,Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?,,,
ham,"Good stuff, will do.",,,
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",,,
ham,"Sorry, I'll call later",,,
ham,Well its not like you actually called someone a punto. That woulda been worse.,,,
ham,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,,,
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,,,
ham,Ãœ v ma fan...,,,
ham,Oh wow thats gay. Will firmware update help,,,
ham,Yeah I can still give you a ride,,,
ham,Just do what ever is easier for you,,,
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,,,
ham,Sending you greetings of joy and happiness. Do have a gr8 evening,,,
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",,,
ham,Eh den sat u book e kb liao huh...,,,
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,,,
ham,Anything lar...,,,
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",,,
spam,"For ur chance to win a Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",,,
spam,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",,,
spam,"URGENT! Your Mobile No was awarded a Â£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",,,
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,,,
ham,Unlimited texts. Limited minutes.,,,
ham,Apart from the one i told you about yesterday?,,,
ham,Then why no one talking to me,,,
ham,At what time are you coming.,,,
ham,"Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U... Gud nyt...",,,
ham,How come?,,,
spam,ringtoneking 84484,,,
spam,You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,,,
ham,"Pity, * was in mood for that. So...any other suggestions?",,,
ham,I like cheap! But iâ€˜m happy to splash out on the wine if it makes you feel better..,,,
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,
ham,Doing project w frens lor.,,,
ham,Daddy will take good care of you :),,,
ham,I might go 2 sch. Yar at e salon now v boring.,,,
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins",,,
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",,,
ham,Who u talking about?,,,
ham,Dunno lei Ã¼ all decide lor. How abt leona? Oops i tot ben is going n i msg him.,,,
ham,Good morning princess! How are you?,,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
ham,Love it! I want to flood that pretty pussy with cum...,,,
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,,,
ham,"I'm in solihull, | do you want anything?",,,
ham,He is world famamus....,,,
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,,,
ham,"I think Iâ€˜m waiting for the same bus! Inform me when you get there, if you ever get there.",,,
ham,I am going to film 2day da. At 6pm. Sorry da.,,,
ham,"Cool, I'll text you in a few",,,
ham,Am I the only one who doesn't stalk profiles?,,,
ham,Oops. 4 got that bit.,,,
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.,,,
ham,Nope... Think i will go for it on monday... Sorry i replied so late,,,
ham,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",,,
ham,Wah... Okie okie... Muz make use of e unlimited... Haha...,,,
ham,"Sorry,in meeting I'll call later",,,
ham,"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",,,
ham,Ãœ still got lessons?  Ãœ in sch?,,,
ham,Is fujitsu s series lifebook good?,,,
ham,"Hey , is * rite u put Â»10 evey mnth is that all?",,,
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or Â£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",,,
ham,We can go 4 e normal pilates after our intro...,,,
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,,,
ham,"Why is that, princess? I bet the brothas are all chasing you!",,,
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,,,
ham,But i'm surprised she still can guess right lor...,,,
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
ham,Went to pay rent. So i had to go to the bank to authorise the payment.,,,
ham,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",,,
ham,Cold. Dont be sad dear,,,
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,,,
ham,Prabha..i'm soryda..realy..frm heart i'm sory,,,
ham,I wont do anything de.,,,
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or Â£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",,,
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",,,
ham,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",,,
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,,,
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",,,
ham,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,,,
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack",,,
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),,,
ham,"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnÂ’t make ur bÂ’day 2 hun!",,,
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",,,
ham,K and you're sure I don't have to have consent forms to do it :V,,,
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",,,
ham,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",,,
ham,Done it but internet connection v slow and canâ€˜t send it. Will try again later or first thing tomo.,,,
ham,Ok i juz receive..,,,
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,,,
ham,Howz that persons story,,,
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew,,,
ham,So Ã¼ pay first lar... Then when is da stock comin...,,,
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,,,
ham,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",,,
ham,"Aight, tomorrow around  &lt;#&gt;  it is",,,
ham,Should i send you naughty pix? :),,,
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,,,
ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,,,
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,,,
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",,,
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",,,
ham,U having lunch alone? I now so bored...,,,
ham,"I'm outside islands, head towards hard rock and you'll run into me",,,
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,
ham,Easy ah?sen got selected means its good..,,,
ham,Men like shorter ladies. Gaze up into his eyes.,,,
ham,I called but no one pick up e phone. I ask both of them already they said ok.,,,
spam,XMAS iscoming & ur awarded either Â£500 CD gift vouchers & free entry 2 r Â£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,,,
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,,,
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !,,,
ham,She told to hr that he want posting in chennai:)because i'm working here:),,,
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",,,
ham,I see the letter B on my car,,,
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,,,
ham,Nice.nice.how is it working?,,,
ham,Aight what time you want me to come up?,,,
ham,K come to nordstrom when you're done,,,
ham,Will be office around 4 pm. Now i am going hospital.,,,
ham,what are your new years plans?,,,
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,,,
ham,Didn't you get hep b immunisation in nigeria.,,,
ham,When are you going to ride your bike?,,,
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,,,
ham,"K, want us to come by now?",,,
ham,You best watch what you say cause I get drunk as a motherfucker,,,
ham,Sorry * was at the grocers.,,,
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
ham,Yup...,,,
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",,,
ham,Also andros ice etc etc,,,
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589",,,
ham,"Dear, will call Tmorrow.pls accomodate.",,,
ham,i thought we were doing a king of the hill thing there.,,,
ham,See the forwarding message for proof,,,
ham,ALRITE,,,
ham,LOL that would be awesome payback.,,,
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
ham,Ok... Take ur time n enjoy ur dinner...,,,
ham,If we win its really no 1 side for long time.,,,
ham,So dont use hook up any how,,,
ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,,,
ham,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,,,
ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,,,
ham,Hey i've booked the pilates and yoga lesson already... Haha,,,
ham,"Haven't seen my facebook, huh? Lol!",,,
ham,Call me when u finish then i come n pick u.,,,
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",,,
ham,* Will be september by then!,,,
ham,I uploaded mine to Facebook,,,
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",,,
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",,,
spam,"Last Chance! Claim ur Â£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Sub. 16",,,
spam,"Hi,Thanks for working with us. Your bill for $373.75 was due on 28 Aug 2016.If you've already paid it, please ignore this email and sorry for bothering you. If you've not paid it, please do so as soon as possible.To view your bill visit https://in.xero.com/5LQDhRwfvoQfeDtLDMqkk1JWSqC4CmJt4VVJRsGN.If you've got any questions, or want to arrange alternative payment don't hesitate to get in touch.ThanksNJW Limited",,,
ham,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,,,
ham,Pathaya enketa maraikara pa',,,
ham,Go fool dont cheat others ok,,,
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),,,
ham,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),,,
ham,Its not that time of the month nor mid of the time?,,,
ham,"Hi elaine, is today's meeting confirmed?",,,
spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",,,
ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,,,
ham,At home watching tv lor.,,,
ham,Ffffffffff. Alright no way I can meet up with you sooner?,,,
ham,Can Ã¼ all decide faster cos my sis going home liao..,,,
ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN,,,
spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,,,
ham,I'll be late...,,,
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,,,
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",,,
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,,,
ham,Ok then i will come to ur home after half an hour,,,
spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,,,
ham,"Ok da, i already planned. I wil pick you.",,,
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",,,
ham,As if i wasn't having enough trouble sleeping.,,,
spam,"Dear Member,We have faced some problems with your account Please update the account.If you do not update will beClosed.To Update your account, just confirm your informations.(It only takes a minute.)It's easy:1. Click the link below to open a secure browser window.2. Confirm that you're the owner of the account, and then follow the instructions.Relog in your account now",,,
ham,Oh ya ya. I remember da. .,,,
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),,,
ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",,,
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",,,
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,,,
ham,My exam is for february 4. Wish you a great day.,,,
ham,I'm going out to buy mum's present ar.,,,
ham,Dont talk to him ever ok its my word.,,,
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),,,
ham,Do you hide anythiing or keeping distance from me,,,
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,,,
ham,This weekend is fine (an excuse not to do too much decorating),,,
ham,Also are you bringing galileo or dobby,,,
ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",,,
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,,,
ham,Sorry completely forgot * will pop em round this week if your still here?,,,
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,,,
ham,Let me know how to contact you. I've you settled in a room. Lets know you are ok.,,,
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,,
ham,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,,,
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",,,
ham,get ready to moan and scream :),,,
ham,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,,,
ham,Only once then after ill obey all yours.,,,
ham,"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D",,,
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,,,
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,,,
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,,,
